meteen		statim
wonderbaarlijk	mirus
echter		autem
strijden	certare
dwaas		stultis
zingen		canere
waarom		cur
toevallig	forte
vasthouden	tenére
toestaan	sinére
daar		ibi
toen		tunc, tum
begerig naar ..	cupidus + gen
zijn, haar	suus
vrezen		metuere
list		dolus
afzetten	deponere, deposui
hij zegt	ait
kennen		cognoscere, cognovi
van goud	aureus
bevelen		iubére, iussi
omdat		quod
op die manier	sic
blij zijn	gaudeo
zoals, zodra	ut
snel (bijw)	cito
buigen		flectere
onvrijwillig	invitus
daarom		ideo
pakken		capere
erg (bijw)	valde
dus		igitur
vervolgens	deinde
want, namelijk	nam
tensltotte	denique
al		iam
bovendien	praeterea
doden		necare, caedere
sparen		parcere
redden		servare
gewoonlijk doen	solére
hoe		quemadmodum
kledingstuk	vestis
de een, ander	alius, alius
geweldig	ingens
net zo		aequo
geschenk, taak	munus, -eris
misdaad		sceleris
uitoefenen	exercére
zoals		sicut
woest		saevus
wat, waarom	quid
nog niet	nondum
tot nu doe	adhuc
zozeer		tam
licht		levis
gehaat bij	invisus + dat
ook, zelfs	etiam
verschaffen	praebére
aarde		tellus, -uris
verzinnen	fingere
aangezien	quoniam
oordelen	iudicare
rechter		iudex
wegens		ob, propter + acc
steen		lapis
sterven		interire
behalve		preater + acc
of		vel
toen		cum + ind
opdat		ut + conj
immers		enim
opgewassen tot	par + dat
en		atque
omvang		magnitudo
brucht		arx
waarzegger	vates
plaatsen	statuere
koninklijk	regius
gezicht		vultus
wensen		optare
altaar		ara
kust		litus
klein		parvus
vriendelijk	mitis
wind		aura
kleinzoon	nepos
opa		avus
zodat niet	ne + conj
wegnemen	auferre
lange tijd	diu
daar 		ilic
door, by, par	ab + abl
verblijven	morari
oever		ripa
maken tot	facere + 2acc
te weten komen	reperire
echtgenote	uxor
verdrijven van	pellere + abl
riviertje	amnis (m)
later		postea
opvoeden	alere
echter, idd	vero
onlangs		nuper
brengen		perducere
tenzij		nisi
betrappen	deprehendere
ver		longe
plotseling	repente
vriendschap	amicitia
gaan zitten	considere
huilen		flere
trerugkeren	revertor
noch		nec
nauwelijks	vix
zo		ita
ontstaan	oriri
toch		tamen
bekend		notus
omdat		quia
streven naar	petere
gehoorzamen	parére + dat
aan hem		ei
baren		gignere
of		aut
tegelijk	simul
bedriegen	fallere
metgezel	comes
opnieuw		iterum
ooit, soms	aliquando
rij, gelid	ordo
bij		apud + acc
maar		at, sed
zeg		dic
